Id	EssaySet	Score1	Score2	EssayText
26	1	2	2	After reading the groups procedure I would need to know what type of vinegar they were using because it could of been any type, what was the measure of container because the container could have been 3 different sizes and they wouldn't have valid results, and they also should have told me what they were holding constant because I wouldn't know what variable to use or control.
27	1	2	2	They needed to include what time they started and when they ended. Also the amount of vinegar they used. Also the size of each sample.
28	1	0	0	1). Met 4 different samples: marble, limestone, wood, plastic. ^p 2). But each sample into 4 different container. ^p 3). Your vinegar in each of 4 separate but identical container. ^p 4). After 24 his remove the samples from the container and rise each w/ distilled water. ^p 5). Allow samples to sit and dry for 30 min. ^p 6). Determine the data of each sample. ^p 7). Record your data.
29	1	3	3	In order to delicate this experiment, you would need to know what the samples were. In this group's procedure, they do not state what
30	1	2	0	In step three, you would need to know how much of each sample to use. Also in step to you need to fill each container with the same amount step 4 you must rise each stone as much. Also there is no control variable.
31	1	2	2	I additional information that I would need to delicate the experiment is to add where your going to leave the samples for 24 hours. Another one that they would need to add in order for me to delicate the experiment is to clearly state the independent variable. I would also need them to state how much vinegar to pour into each separate but identical, container.
32	1	0	0	You will need a time to determine the time that the vinegar dried up.
33	1	3	3	For this experiment, you would actually need to know what each ''sample'' is, the amount of vinegar that was used and the size of each ''sample''
34	1	3	3	To delicate the experiment I would need to know the samples that I will be using. I would also need to know how much vinegar to use. I would also need to know what type of container to use.
35	1	1	1	In order to delicate the experiment.You would need to know how much vinegar to pour ,you need to know how much distilled water and you as need to know how your going to weigh it.
36	1	2	2	Well I would need to know what the problem statement is. I would need to know what type of cups we are using.I would need to know the amount of vinegar we are using. And I would need to know if the amount of vinegar in each cup will differ.
37	1	2	2	In order to delicate the experiment i would need to know how much of each material is used before i go and find the mass. I would need to know how much vinegar to pour on each material. Although they show the materials in the data take they should still list them in the procedure.
38	1	0	0	I will need to know what's the purpose for this experiment, know the difference in mass for each sample, and I need to know an estimate of what they thought the starting and ending mass was.
39	1	1	1	They should add how much vinegar to add to each sample. For this lab to be more accurate they should have also added more trials as well as adding a constant variable such as a rock in just water.
40	1	2	2	In order to delicate this experiment I would need to know, first how to calculate the mass of the samples. I would also need t o know what the four samples are, as if is not stated in the procedure. Lastly to repeat this excitement I would need to know how much vinegar was placed into each container.
41	1	1	1	Additional information that would be needed to delicate the data would be what equipment is needed for the experiment,what materials are going to be used,and how much of each material will be used?
42	1	3	3	In order to delicate this experiment:you would need to know the amount of vinegar to pour in the container. You also need to know what to pe of container to pour the vinegar in. Also, you need to know how much or how long to rise the samples with distilled water.
43	1	3	3	After reading the procedure i would  first need to know what the for sample are that i am testing second i ^p would need to know how much vinegar put in each container next the procedure should tell me how thing to case rise each sample in distilled water.
44	1	3	3	Determine what the different samples are, then state how much vinegar you would be adding to each sample. State how long you are rising the materials in water. (ex 5 minutes)
45	1	2	2	In order to delicate the groups experiment, I would need a lot of additional information. First of all, I would need to know what it is that they are using as the four samples (rocks bark)
46	1	0	0	I think the experiment should make the description more specific so as not to be confused and mistake cups.For instance , they could say "each of the cork samples", and "place sample  into cup labelled 'A'"
47	1	2	2	One extra thing that needs to be included is what material or object the four samples are of another thing not included is the amount of vinegar needed to put in each container. The words "A sample" doesn't specify the exact amount of each rock are needed. A repetition of this experiment is needed to verify the results.
48	1	0	0	There could be more than 1 test for each sample. There could also have a constant added to the experiment. Also, there are to soft instanchings in the experiment like put on gorges before eyes where gloves when touching the vinegar
49	1	0	0	They should take more notes, that way, in case they mess up, they can have a the information how to red it.
50	1	3	2	Now much finger should you pour, with what label, and when to sit it, it stand dry for 30 min...Label. The container's repeatedly, separate but identical container. That container should we use?
51	1	1	1	In order to delicate this experiment, I would need to know what the different materials were. I would also need to know how many different materials there were and what the starting mass of each material was.
52	1	0	0	In the experiment  I would determine the was of each sample pair the  vinegar into a container then label. I would wait 24 hours then pour out the vinegar and nose out with water. Met the samples dry and find the mass difference
53	1	2	2	In order to complete this experiment, three additional thing should be included. The first is the amount of vinegar to out in the cup. The second is to list the far samples in the procedure. The third is to record the information obtained.
54	1	2	2	In order to delicate the group's I would need to know how much vinegar to pour in each of the four and how long  container, how much the sample you need to add you need to rise the samples.
55	1	2	2	The procedure needs to state the four types of samples it is using, (marble, limestone, wood, plastic). You need to determine how much vinegar you are pouring into each cup. You need a set amount. You could also do the time at different times. To you could do it at is at 30 and at 45 minutes to see if there is a change at all in the mass over time.
56	1	1	0	The information I would need to delicate the experiment is; the four different samples, the four identical container, the amount of time to let the samples sit, and the product to rise the samples with so I could let them sit for more.
57	1	0	0	To repeat this experiment you would need to get the average that was used in the last procedure and let it sit for twenty eight hours instead of twenty four then rise and record the changes in mass.
58	1	2	2	He need to know the exact amount of vinegar going into each container, to make sure that each sample fair results. He also need to have a set starting mass so all of the samples have the same amount or the results will not be reliable. He also need to know what kind and how big the container are, because results may be reliable if the container for the samples have all different volumes and shapes.
59	1	3	3	Some additional information that you would need is how many vinegar are you pouring in. Also in step 3 it says add a sample of each material. He need to know how big the sample would have to be. Something that could effect the data could be what temperature are you putting this experiment in, is it room temperature, we need to know this.
60	1	3	3	To delicate the experiment, the procedure would require more detail. One piece of information that is omitted is the amount of vinegar used in the experiment. It is also important to know what temperature the experiment was kept at during the 24 hours. Finally, the procedure needs to include details about the experiment, for example if the whole sample must be submerged.
61	1	1	1	You would need the amount of vinegar being poured into each of the caps. That because the experiment only tell you to "pour vinegar" but when people read if they might not know how much vinegar to put.
62	1	3	3	His group left same very important thing out of their procedure. First of all they didn't tell us what samples to use for the experiment. They didn't tell us how much vinegar to use or what size container we would need all of this information to delicate this lab.
63	1	1	1	You would need the name of the four samples you are using to make a table to record data. Write down you need to record the starting mass, ending mass and difference in mass.
64	1	0	0	Some additional information i would need is how they found the mass and what type of instrument was being used. Also when they say place a sample of the material, how much of each type am i going to need.
65	1	0	0	First of all you'll need to measure the container bxitsals and subtracted it from weight of the samples so you don't accidently have extra weight. Calculate the time difference it took to prepare them. Use the same weight of each sample.
66	1	0	0	To exactly delicate this experiment you would have to know, how they measured the mass of the object, because without that how would we figure out the different masses. He have to know the starting mass, the ending mass and the difference in mass.
67	1	1	1	After reading the group' procedure I did not know how much vinegar they would be pouring into the container. His group also did not state the starting time at which they added the vinegar. His group also did not state the reason the data, they just said to determine it.
68	1	2	2	I would need the amount of rich in each container. I would need the amount of vinegar of r container. I would need the same kind of vinegar in each container. I would need all of this additional information to delicate this reprimand.  I would also need the amount trials done.
69	1	3	3	1.A list of materials and safety requirements. ^p 2.The amount of vinegar to put in the container. ^p 3.The temperature of the room/vinegar ^p 4.A control group.
70	1	1	1	Additional information you need in order to delicate this experiment is a control group. A control gray  should have no effect on the sample and is needed so you can base your answers off reliable sources. Also in order to delicate this experiment we need to know the amount of vinegar we are putting on the sample. He also would need to know.
71	1	1	1	That you would need is the information on how much vinegar is added to every sample. For example, one sample can be in a different amount of vinegar. To that can throw their ending masses off.
72	1	2	2	He would need to know what samples they used for the experiment they just say "samples". He need to know how much vinegar they poured into each cup and we would need to know what units to measure the mass of the samples with. They would have to specify that we should weigh them using grass.
73	1	0	0	That the group of students did was determine the mass of different samples. To what I would do : what they did in the beginning or the investigation I would use the samples and do another experiment with the samples.
74	1	1	1	In statement 2, They need to put the measurement of the container ^p In states 4 how much water? ^p In number 6 what the measures were support to use for the mass.
75	1	1	1	Some additional information for their procedure would be to use the same amount of vinegar for each container. Also make sure the times are all on for each sample. Also measure the mass after it days and find your difference from its starting mass.
76	1	3	3	In order to delicate ta experiment, a person would need to know a few more things. They would need to know which substances to use & how much of each one. The person would need to know how much vinegar to put in the container. They would also need to know what temperature to put ta container in. One might also want to know what type of container, how to write down the findings.
77	1	3	3	You would need to know how much vinegar was placed in the container. That type of samples you were measuring and placing in the container and the temperature at which they were storing at to ensure equal experiment.
78	1	0	0	Additional pieces of information that should be included in the procedure would be, with with what would you be using to determine the mass such as a scale, have the controlled variable evident in the procedure, one last thing that should be to move a table of the starting mass, the endingmass, and the difference in mass using grass.
79	1	1	1	To delicate this experiment, you would need to know how many my of vinegar is poured into each container. You would also need to know how much distilled water was supposed to be poured onto the samples. Also, you may want to have the starting mass of each samples be the same.
80	1	1	1	In order to delicate this experiment,I would need to know 3 more things that weren't stated in the procedure. I would need to know the amount of vinegar poured into the container,the amount of time the samples were in the vinegar and the amount of distilled water used to rise it off.
81	1	3	3	The additional things that I would put are the procedures in what find at temperature they left the container in. I would also include the samples of what I am testing in the experiment. Lastly, I would also put in my procedure, how much  amount of vinegar they are putting in.
82	1	2	2	In order to delicate this experiment, you must be able to know what the four materials are, how to measure the mass, how much vinegar should be poured into the container and how much distilled water should they rise it with. They should start by saying, d determine the mass(put the cripple beam balance), of the four if. samples(name them), then pour vinegar(how much) into container, then these step of step 4, wash( how much distilled water, and it would be better.
83	1	2	2	In order to delicate this experiment you would need to know the size of the container that you would place the sample in, you would need to know the amount of vinegar putting in each container, you would need to know what to use to measure out the mass (for example, cripple beam balance, etc) and you would also need to know the material to use to place each sample in the container.
84	1	0	0	You got to put more Vinegar in wood so it make no different in mass in plastic out a little not more Vinegar so it could do more reaction.
85	1	1	1	Another trials, the amount of vinegar used and no changing of time to make sure it's accurate. Because if not quill change the experiment. By changing the most important things.
86	1	3	3	To delicate this experiment one must know information that is not given by the procedure. First, we must know how much vinegar to put into the container, enough to cover them? Next, we need to know how the vinegar will affect the material. Will  we completely submerged it or only partially? Finally, we need to know which materials to use. The data indicates them, but the procedure does not.
87	1	0	0	Three additional pieces of information  I would need to delicate the procedure are to gather materials, use a control, and when it's finish to record the data.
88	1	1	1	In order to delicate the experiment you would need to know several more pieces information. One of them being the amount of each material (wood, plastic, marble and limestone). You would also need to know how much vinegar to add. Finally, a constant for each material would alsohelp.
89	1	0	0	The independent variable is the marble, limestone wood, plastic.The marble starting point was 9.g. The limestone was 10.g and wood starting point 11.2.The end of the experiment is that you have to determine the mass of each sample.
90	1	2	2	Additional information that could be useful in order to delicate the experiment would be to list the actual samples in the procedure so you can see what your using. Secondly, in the procedures I made need to what to weigh the mass in, for example, they didn't tell you to weigh in grass and I wouldn't be able to complete the experiment easily. It doesn't tell how much vinegar to actually pour into each container in order to delicate, I would need to know that.
91	1	3	3	I think that knowing the temperature in the enjoyment would be very useful, I'm sure it we heated the samples or froze the samples, we wouldn't get the same results. Also, we need to know what type of environment we should place this in. Should it be sunny, dark, windy, hot, cold, etc. I also think we should know what kind of container and how large it should be, we don't even know the right amount of vinegar to pour on the samples. His experiment is missing too much information.
92	1	0	0	In order for I for  delicate this excitement I would need to know what are the reaserching with this excitement what kind of result are  being booked at and the mass of each sample at the end of experiment  there results.
93	1	3	3	In order to delicate the experiment you would need to know how much vinegar to pour into each container. You would need to know how long to rise each sample with distilled water and using how much water. You would also need to know how they determined the masses of the samples both in the beginning and end of the experiment, and they exact size of the container that the samples are being placed in.
94	1	1	2	In order to delicate the experiment we would need a control. He would also need the four samples to use. And another thing is what can of vinegar to use and how to weigh the mass of each one. That is what we would need to delicate the experiment.
95	1	3	1	The additional information that is needed in order to delicate the experiment is the amount of vinegar that should be placed in each container. The amount of vinegar must be kept constant in order for the data to be valid. The results acquired from the experiment can be affected if the amount of vinegar  was increased or decreased. Therefore, the amount of vinegar is needed in order to delicate the experiment.
96	1	0	0	In order to delicate this groups procedure, you would need to know the independent and dependent variable as well as the control group for the procedure. Also, to ma ke it more clear, they would need to include a hypothesis of the experimenting well as a purpose.
97	1	3	3	In order to delicate the experiment, the procedure would have to add more details. In the first bullet, the four samples should be stated as marble, limestone, wood and plastic. You should describe the container where to put the samples and how much you need. There should be a step where you find the starting mass before the experiment. Also there should be measurement of how much vinegar should be added. One last thing, is when you say to determine the mass on the procedure it should say,in grass.
98	1	1	1	They should have told the samples that was used. The second thing was the outcome, what happened to the differ.
99	1	3	3	The students need to say what  the samples are. They need to
100	1	2	2	The group should of added the amount of vinegar used for control. Also they should have compared at least one more trial material before reply conclusion.The recommended sizes of the samples should have also been stated in order for the conclusion to be easy to compare with other group attempting to complete this experiment.
101	1	3	3	Additional information I would need to delicate this experiment would be the actual names of the samples. In step 2 I would need the exact amount of vinegar to pour into each container. Also in step 4 I would need the amount of distilled water to rise it off with and for how long.
102	1	2	2	In order to delicate this experiment, some additional information I would need is how the gray determined the mass of the samples and what did they use to do so. I would also need to know the amount of vinegar they used to pour in each container as well as what kind of container they used.
103	1	1	1	First off these groups of students forgot to added in step 2 how much vinegar in going to be poured in each identical container. In step number 5 the students did not say to organize the samples so you can record it as separate data because each sample is different (marble, limestone, wood, plastic). The students also forgot to include step 7, which is find the differences in mass. Of another group of students were going to do this exact experiment they wouldn't know what they are comparing.
104	1	2	2	Of i was doing this experiment i would have taken the hemp. of the room, i also would have given a measurement of how much vinegar i used.
105	1	0	2	After reading the groups procedure, the following additional information is needed, you need to observe the container when you fill each with the content, you will need to make sure each container has the very same amount, then also make sure that all the container are in the same room hemp.
106	1	1	1	The additional information that is needed it the amount of vinegar being poured into each cut. Also you need to record all the information. They need to know how much water they are putting into the container after 24 hours.
107	1	2	3	You would need the size of the container, amount of vinegar used, the types of samples. Such as earth, wood, limestone, and plastic and how much of each to put in.
108	1	3	3	In addition to the information given, you would also need to know how much vinegar to put into each container,different amounts could change the results. There should also be a set temperature to keep the samples at, because change in temperature can affect the corossion process. In the experiment, it should have told you the samples should be somewhat even size.
109	1	1	1	Additional information that is needed in order to delicate the experiment is the measure cents of the liquid poured into the cups. Also wat size cups are the liquid poured into. In the procedure it says "pour vinegar in each of four separate, but identical container". That is the additional information that is needed in order to delicate the experiment.
110	1	0	0	Some additional information they could have added was they they should have weighed the sample before they put 4 in the vinegar.
111	1	0	0	For each box, they should have done it 3 times so they would have an average.
112	1	1	1	I would need to know what materials i am getting to begin this experiment. That should i be looking for when experiment is going on? Now do i determine the was of each segment.
113	1	1	1	Some additional information you would need to delicate the experiment is in the procedure include, what type of samples your using, also do explain why you are using vinegar. Finally, to tell the reader what your weighing with and why.
114	1	2	2	Of I was to delicate the experiment I would need to know the amount of vinegar in each container, the size of the container, and what was used to weigh the samples.
115	1	1	1	In order to delicate this experiment, you should know how much of each sample you were supposed to start with, what you were trying to determine from this experiment and you should know how the container were kept room temperature outside etc.
116	1	0	0	In order to delicate this this experiment youwould need the starting mass, ending mass and difference in mass.
117	1	2	3	You would need to find out and label the different sizes and shapes of the 4 samples, you don't pour the vinegar in, instead you say to drops in each container. You want everything to be the same, and when you pour you don't always get the exact amount for each container. Also state the mass of oh label of the vinegar.
118	1	0	0	Your going to need how much is there in total.
119	1	0	0	Your vinegar in each of the four separate but identical container.^p Place one sample in a container and do the same for the rest, ^p After 24 his remove sample and rise ^p It and dry for 30 min. ^p determine the miles.
120	1	2	3	To delicate this experiment, you would need to know the mass (amount) of vinegar used in each cup. It is also necessary to know the temperature of the room that the experiment was performed in. A different temperature could speed or slow the reaction in each cup. The last piece of information required would be he size of the cup used in the experiment. The volume of the cup and/ or the shape of the cup could completely alter the results of the experiment.
121	1	1	1	To delicate the experiment, I would give the required tools in a list so people can be more prepared, I would also be more specific on the word "samples" to describe rocks and stones. And most importantly I would make a control, I would put marble, limestone, wood and plastic in water.
122	1	2	2	In order to delicate the experiment, i would need some additional information. First of all i would need to know how much vinegar to use in each container. Second of all i would need to know the materials i would be placing in the vinegar.
123	1	1	2	That you would need to know to delicate the experiment is the amount of vinegar to put in each cup. Also you would need to list the materials you were using. Another thing you would need to know is what measurement of the mass would you use.
124	1	1	1	You would need what temples there, what you do after number 6.
125	1	0	0	It would have been better to have had three trials for the data and to have an average for the data. Also a total of the data could have been better too.
126	1	3	3	First you would need to know what the samples are that they are talking about. Next you would need to know how much Vinegar you need to put in each container. you could also need to how long you should rise each sample.
127	1	0	0	The additional information I would need to radiate the experiment I would explain the look of the outcome of the experiment. I would put "After 24 hours, remove the samples from the container & rise each sample w/ distilled water. "Allow the samples to sit and dry for 30 minutes. Instead of putting "Determine the mass of each sample". I would tell you the outcome on what happened and how the experiment turned out.
128	1	0	0	I will need to add on them subtena by how many number their are. The sample has the amount of four layers it is to divide by eight.
129	1	1	1	In order to delicate this experiment, a control would need to be established. Also, a mass would need to be determined so that every material had the same mass at the beginning of the experiment. In order to accurately delicate this experiment, it would help to know if the container were covered or uncovered for the 24 hours.
130	1	3	3	He would word correct safety measures to take,the control,the effect of vinegar,what temperature to store them at,what the identical container are made of and its size,what type of scale to use to means it,the amount of vinegar in each container,i more trials
131	1	3	3	In order to delicate this experiment, there are a few more things I need to know. The problem does not state what the four different samples are. Second, I would need to know how much vinegar to pour in each cup. The amount of vinegar could impact the mass. Last, I would need to where to store the samples for the 24 hour period. Different temperatures might affect the different samples.
132	1	2	2	this question would need to include the measurement of the container & the amount of vinegar poured in each cup.
133	1	2	2	In order to delicate this experiment, i would need to know what she container to use and how to measure the mass of the samples. I would also need to know how much vinegar to put in each container.
134	1	0	0	You would need to know the portions of what they used as not to ruin the experiment, or not using enough or too much may not give you the same results.
135	1	3	3	In order to delicate the lab, the students did you would need to know what materials were need. That kind of area are you going to do the lab in and how much vinegar you need to pour into the samples.
136	1	2	3	The additional information that is needed in the procedure is they should state what samples are going to be used. Also, they should include how much vinegar we need to pour into the container because different amounts could have different results. Lastly, It should include the size of the container because it could have a different result.
137	1	2	1	Additional information to be included into the procedure to delicate it would have to be to clarify in the first step, what the samples are going to be. It would also be good if you were to add where you should put your samples while they are sitting in the vinegar. It would have calcified the procedure also if it were added what we should use to measure the samples. It would also be helpful if the procedure included how much of each sample to test.
138	1	3	3	After reading the group's procedure, additional information that a would need in order to delicate the experiment are that a need to know the size of the container that the samples are put in, for they need to be identical. U also need to know the amount of samples u need to put in each container in order to obtain the same starting mass the group of students received from the samples. Another factor a should know is the amount no vinegar that u pour into the container concerning the out example of the experiment. Another good peace of information would be the location where the samples are drying and amount of sunlight.
139	1	3	3	Some additional information needed would be where the container are to sit. Such as in the sun or in the refrigerator. Now much vinegar are we putting into container and what kind of container are using?
140	1	2	2	The students should say in the experiment what samples are being used. They should also say how much water they should use when they are distilling the sample and they also need to say how much vinegar they are pouring into each labelled cup.
141	1	2	2	Three additional pieces of information that I would need to know to delicate this experiment would be what exactly the four samples are of, how much vinegar to pour into each container, and what exactly the purpose or problem statement for this experiment was.  Also, how much distilled water I would need to use.
142	1	2	2	In the procedure, i would also need to know how much vinegar to use, which scale of measure they are using and how big each container is.
143	1	3	2	In order to complete this experiment, you would need additional information. You would need to know the list of materials to have everything to complete your experiment. You would also need to know where the experiment was performed to weigh any outside factors. You might also need to know to know the constant. That type of vinegar, and what time you started.
144	1	3	3	To delicate this  experiment you would also need to know vinegar they used, the size of the cup and the the size of the samples.
145	1	2	2	After reading the procedure there were a few things I need to know to delicate the experiment. One thing is the amount of vinegar used. Another is Now much water to use when rinsing it. The last thing is how to store the samples for 24 hours. There were a few problems with this procedure.
146	1	3	3	I would the amount of vinegar that should be put into each cup also should the container be covered or not? It would be helpful to know what type of container should the materials be put into.
147	1	1	1	I need to know how big the container is & how many of them.
148	1	2	2	That are the samples/what is the material use how much vinegar is poured in the container.
149	1	0	0	The students should have made a hypothesis of what they thought was going to happen. Also they should have stated what they were investigation. They should have made a conclusion from the results.
150	1	1	1	In order to delicate the experiment, you would need additional information like how much vinegar was poured into the separate container, what tools to use such as safety gorges, and having more trials.
151	1	1	1	They needed to add what the samples were how the mass should be determined,they need to tell you to table the container, and you need to record tour data.
152	1	2	1	Some additional information I would need in order to delicate the experiment would be how much vinegar do I put  in each container. Also what am I supposed to label the container? I'm not quite sure how to measure the mass by using  a scale?. Of so, the same scale for each sample. Also, how big are the samples supposed to be?.
153	1	3	3	To delicate this experiment, you would need to know the volume of the vinegar in the cup, the temperature of the surroundings, and the exact aridity of the vinegar on the oh scale.
154	1	0	0	To delicate the group experiment you would need to add information even as if the lab is valid.
155	1	2	3	You would need to add how much vinegar is needed to be poured in the container. I think the students should have started out with the same mass. That type of vinegar and does temperature matters.
156	1	0	0	Some additional information would be how much of each sample would be put into the vinegar. Also, maybe not have then sit for 24 hours, but had then sit less. They could also have rinsed them with replied water instead of distilled water.
157	1	2	2	The additional information necessary to delicate the experiment are: ^p 1.)The amount of vinegar to pour - this must remain constant in a incredible experiment. ^p 2.)The types of samples used should be in the procedure. ^p 3.)
158	1	1	1	To delicate the experiment, you would need to find out how much vinegar to pour into the container. He know that marble lost 4 grass, limestone lost 1.3 grass, plastic lost 1 grass and wood stayed the same, but we need to know how much vinegar was used for each sample.
159	1	0	0	He had all the information we need to do the experiment, we already know that wood is the one that has more mass out of all of them and that plastic is the least one but maybe if they would've explained it better to be able to complete the mass, because it looks like they only have estimates for the mass.
160	1	2	2	The additional information you would need in order to delicate the experiment is the difference in mass from the beginning of the experiment to the end of the experiment. You'd also need to know what all the samples were and would need the same amount of vinegar in each container.
161	1	1	1	To delicate the groups procedure I would need for them to tell the reader how much vinegar to put in the container, how much of one sample material do they want, and how they want us to determine the mass.
162	1	1	1	There are a couple additions that should be made to delicate the lab accurately. In procedure 1, it does not say to measure the mass of the samples i or without a peri dish. It also should say that they should be measured with a particular instrument, such as balance beam. Another part that was left out was that they forgot to tell how much vinegar the four samples need, because if one gets more than another, it might change the weight and how much water prince the samples with.
163	1	1	1	You would need to tell what type of samples they are. Also, what type of utensils to use to measure the mass of the samples. Also, would need repeat or implicating trials to re-test the experiment. Or you ll also need to tell what to label the container by in this experiment, you 'll also need to reach the mass or how each sample looks by using your five senses, or whatever or not to make a data same to show your results.
164	1	2	2	In order to delicate this experiment I would need to know what kind of ''samples'' I am using. The group states to determine the mass of four samples but does not tell me what kind of material these samples are. Also it would be helpful to know how much of each sample I should measure. Again this groups procedure is very being detail and it would help to make the experiment as accurate as possible, to know how much of the sample I should be using. Finally in order to delicate this experiment I would need to know how much vinegar I should add to each sample. Different amounts of vinegar will affect each sample differently, making the experiment inaccurate.
165	1	2	2	In order to be able to duplicate this experiment, you need the following information: Now much vinegar to use. Also how big are the container i.e what is what is their volume. And lastly how much of each sample to put into the container.
166	1	1	1	Additional information I would need is how much vinegar was put onto each sample. His is because, if more vinegar is put on one sample than another it will most likely after the mass in different ways: for example if more vinegar is put on wood than plastic then wood will have more mass lost than the plastic would.
167	1	0	0	In order to delicate this experiment, you would need to state exactly how much of a certain chemicals you need to pour. In most cases, it is imperative that you get the right amount of a substance or your results may be sufficient.
168	1	3	3	To repeat this experiment, I would need to know the four different  samples without knowing that I don't know what I'm testing. I also need to know how much vinegar in each of the 4 cups. I would need to know where to put all of the different container. I don't know if they need to stay at room hemp, cold or not.
169	1	0	0	You should repeat each step in the experiment. Start with step 1 and go all the way to step 6.
170	1	1	1	To delicate this procedure you would need to know how much vinegar to pour into each of the container. You would also need to know when you started to know when to finish the experiment.
171	1	1	0	That materials should we use because order to do this experiment it has to tell us what substances are being used. Their procedure also does not tell us to get a starting weight.
172	1	2	2	After reading the group's procedure in order to delicate the experiment, I would need to know the size of the container because the smaller the container, the more densely packed the samples are. I would also need to know whether or not light and heat or dark and cold will affect the experiments.
